Item No,Price A,Price Hot
AR-XAL450UT4-50B,795.00,636
AR-XAL450UT5-50B,795.00,636
AR-XAL450UT5-50BRPC,825.00,666
AR100HT2-50BA,275.00,250
AR100HT3-50BA,275.00,250
AR100HT3-50BK,275.00,250
AR100HT4-40BA,275.00,250
AR100HT4-50BA,275.00,250
AR100HT5-40BT,275.00,250
AR100HT5-50BA,275.00,250
AR100HT5-50BK,275.00,250
AR100HT5-50BT,275.00,250
AR100HT5-50WA,320.00,295
AR100LED50,151.00,139
AR100UT2-50BA,225.00,200
AR100UT3-40BARPC,255.00,230
AR100UT3-40BK,225.00,200
AR100UT3-40BKRPC,255.00,230
AR100UT3-50B,210.00,185
AR100UT3-50BA,225.00,200
AR100UT3-50BAMS,280.00,255
AR100UT3-50BARPC,255.00,230
AR100UT3-50BK,225.00,200
AR100UT3-50BKMS,280.00,255
AR100UT3-50BKRPC,255.00,230
AR100UT4-40BK,225.00,200
AR100UT4-50BA,225.00,200
AR100UT4-50BAMS,280.00,255
AR100UT4-50BARPC,255.00,230
AR100UT4-50BKRPC,255.00,230
AR100UT4-50BT,225.00,200
AR100UT5-40BA,225.00,200
AR100UT5-40BT,225.00,200
AR100UT5-50BA,225.00,200
AR100UT5-50BKRPC,255.00,230
AR140HT3-40BA,360.00,330
AR140HT3-50BK,360.00,330
AR140HT4-40BKMS,415.00,385
AR140HT4-50BARPC,390.00,360
AR140HT5-50BTMS,415.00,385
AR140HT5-50BTRPC,390.00,360
AR140UT3-40BA,310.00,280
AR140UT3-40BAMS,365.00,335
AR140UT3-40BKMS,365.00,335
AR140UT3-40BKRPC,340.00,310
AR140UT3-40BT,310.00,280
AR140UT3-40BTRPC,340.00,310
AR140UT3-50BA,310.00,280
AR140UT3-50BARPC,340.00,310
AR140UT3-50BK,310.00,280
AR140UT3-50BT,310.00,280
AR140UT3-50BTMS,365.00,335
AR140UT3-50BTRPC,340.00,310
AR140UT4-40BKMS,365.00,335
AR140UT4-50BA,310.00,280
AR140UT4-50BARPC,340.00,310
AR140UT4-50BK,310.00,280
AR140UT4-50BKMS,365.00,335
AR140UT4-50BKRPC,340.00,310
AR140UT5-50BA,310.00,280
AR140UT5-50BK,310.00,280
AR140UT5-50BKMS,365.00,335
AR140UT5-50BKRPC,340.00,310
AR140UT5-50BTRPC,340.00,310
AR210HT3-40BA,430.00,410
AR210HT3-50BA,430.00,410
AR210HT3-50BARPC,460.00,440
AR210HT4-40BA,430.00,410
AR210HT4-40BK,430.00,410
AR210HT5-50BA,430.00,410
AR210UT3-40BARPC,410.00,390
AR210UT3-40BK,380.00,360
AR210UT3-50BA,380.00,360
AR210UT3-50BARPC,410.00,390
AR210UT3-50BK,380.00,360
AR210UT3-50BT,380.00,360
AR210UT3-50BTRPC,410.00,390
AR210UT4-40BA,380.00,360
AR210UT4-50BA,380.00,360
AR210UT4-50BKRPC,410.00,390
AR210UT5-40BT,380.00,360
AR210UT5-50BA,380.00,360
AR210UT5-50BK,380.00,360
AR210UT5-50BTRPC,410.00,390
AR280HT3-50BA,525.00,500
AR280HT5-40BA,525.00,500
AR280HT5-40BAPR7,555.00,530
