productcode,productprice,productprice
15T5HE-4F-830-GL-DIR,267.7,
15T5HE-4F-835-GL-DIR,267.7,
15T5HE-4F-840-GL-DIR,267.7,
15T5HE-4F-DIR-R,320.74,
15T8T5HEDRIVER-2CH,14.79,
15T8T5HEDRIVER-4CH,19.99,
16.5A21-277V,37.93,
16.5PLV-BYP,24.93,
16540,38.0,
16T8-4F-BYP,204.0,
16T8-4F-BYP-FF,259.25,
16T8U6-DIR,235.2,
17.5T8-4F-GOLD-BYP,555.0,
17A21DIM-GU24,20.64,
17BR40DLED27-G3,7.25,
17BR40DLED30-G3,7.25,
17BR40DLED40-G3,7.25,
17P38LED230FL,21.68,
17P38LED240FL,21.68,
17PAR38-9-FL40-277V,29.87,
17PAR38DIM-,24.15,
17PAR38DIM-930FL40-GU24,24.15,
17PLV-DIR,23.5,
17T8-4F-DEB,249.6,
17T8U6-830-BYP,235.2,
17T8U6-840-BYP,235.2,
17T8U6-850-BYP,235.2,
18CDL6DIM-830-277V,76.67,
18CDL6DIM-835-277V,76.67,
18CDL6DIM-840-277V,76.67,
18DL6DIM-927,19.73,
18DL6DIM-930,19.73,
18DL6DIM-940,19.73,
19.5PAR30HO-277V,34.55,
1FS14-820-A,5.43,
1FS14-827,5.04,
2.5G4LED27,7.05,
2.5WDGLED27,7.05,
20HIDWP-840-277V-E26,55.09,
20HIDWP-850-277V-E26,55.09,
20SMPR9DIM-,33.77,
20SMPR9DIM-277V,37.15,
20SMPS9DIM-,34.42,
20SMPS9DIM-277V,37.67,
21CDLA6-277V-R,66.14,
22.5STRIPDIM-277V,79.53,
22T5HO-4F-EXT,320.74,
22TRMG4DIM-B-,77.84,
22TRMG4DIM-W-,77.84,
24.5NCDLR8DIM-927-EXT,39.62,
24.5NCDLR8DIM-930-277V-EXT,44.04,
24.5NCDLR8DIM-930-EXT,39.62,
24.5NCDLR8DIM-935-277V-EXT,44.04,
24.5NCDLR8DIM-940-277V-EXT,44.04,
24.5NCDLR8DIM-940-EXT,39.62,
24CDL8DIM-830-277V,88.76,
24CDL8DIM-835-277V,88.76,
24CDL8DIM-840-277V,88.76,
24LB27,26.25,
24LB35,26.25,
24LB50,26.25,
24T5HO-4F-830-GL-DIR,267.7,
24T5HO-4F-835-GL-DIR,267.7,
24T5HO-4F-840-GL-DIR,267.7,
24T5HO-4F-850-GL-DIR,267.7,
24T5HO-4F-DIR-R,320.74,
24T5HODRIVER-2CH,22.2,
24T5HODRIVER-4CH,29.61,
25HID-277V-E26,53.27,
25HID-830-277V-EX39,53.27,
25HID-840-277V-EX39,53.27,
25HID-850-277V-EX39,53.27,
25PAR38HO-927NF25-277V,41.57,
25PAR38HO-930FL40-277V,41.57,
25PAR38HO-930NF25-277V,41.57,
25PAR38HO-940FL40-277V,41.57,
25PAR38HO-940NF25-277V,41.57,
25T5HO-4F-BYP,355.06,
25TROF22DIM-277V,95.52,
25TROFKIT22DIM-277V,95.52,
26TROF14DIM-835-277V,118.79,
26TROF14DIM-840-277V,118.79,
27CDLA8-277V,76.41,
2LHB100L50W3,78.64,
2LHB150L50W3,104.09,
2LHB200L50W3,124.8,
2LHB310L50W4*,181.12,
2LHB80L50W3-,71.47,
3.3FB11DIM-927,7.12,
3.3FB11DIM-927-E26,7.38,
3.5FT10DIM-822-A,12.32,
3.5PLS-835-BYP-2G7,12.06,
3.5PLS-HYB-G23,10.89,
3.8FB11DIM-827-FR,5.69,
3.8FG25DIM-927,7.9,
30CDL9.5DIM-830-277V,106.44,
30CDL9.5DIM-835-277V,106.44,
30CDL9.5DIM-840-277V,106.44,
30PAN22DIM-277V,73.16,
30TROF24DIM-277V,118.79,
30TROFKIT24DIM-277V,118.79,
33TRLG4DIM-B-,108.52,
33TRLG4DIM-W-,108.52,
35HIDLB-BYP-E26,59.25,
35HIDLB-BYP-EX39,59.25,
36LBLV40,21.25,
36PT40,46.55,
36PT50,46.55,
36RDL30,23.75,
36RDL41,23.75,
36RDL50,23.75,
36TROF14DIM-277V,118.79,
37HID-277V-E26,62.11,
37HID-277V-EX39,62.11,
38.5STRIPDIM-277V,118.53,
38PAN24DIM-277V,102.54,
3FT6DIM-820-A,6.99,
3G9LED27,5.59,
3HBA150L50BK2-,123.2,
3HBA60L50BK1-,71.12,
3MR11-8-NF30,10.37,
4.5FBA11DIM-820-FT-A,7.51,
4.5FG25DIM-827,11.54,
4.5FG25DIM-827-SB,11.54,
40HIDWP-277V-E26,68.87,
40HIDWP-277V-EX39,68.87,
40HMX50,49.21,
45CDLA9.5-277V,96.95,
48LB27,42.5,
48LB35,42.5,
48LB50,42.5,
4BARFLEXTUSB,429.99,
4BARTRIUSB,449.99,
4BARUSB,349.99,
4BL35L50B1P,81.45,
4BL45L50B1P,93.87,
4FG16.5DIM-820-A,5.95,
4FG16.5DIM-827,5.56,
4FG16.5DIM-827-E26,5.69,
4FG25DIM-820-A,8.16,
4FL100L50B1,161.94,
4FL120L50B1,190.05,
4FL80L50B1,142.86,
4FST19DIM-820-A,7.64,
4PLAY,229.99,
4SB140L50B2I-,234.42,
4SQ-SP-D,24.92,
4SQR-SP-D,30.24,
4WP40L50B1,92.64,
4WP60L50B1,104.03,
4WP80L50B1,161.85,
5.5PLH-830-BYP-E26,13.62,
5.5PLH-835-BYP-E26,13.62,
5.5PLH-835-HYBM,13.75,
5.5PLH-840-BYP-E26,13.62,
5.5PLH-840-HYBM,13.75,
5.5PLH-DIR-R,10.89,
5.5PLS-835-BYP-2GX7,12.97,
5.5PLS-HYB-GX23,10.89,
5.5PLSH-827-HYB-GX23,12.58,
5.5PLSH-830-HYB-GX23,12.58,
5.5PLSH-835-HYB-GX23,12.58,
5.5PLSH-840-HYB-GX23,12.58,
5.5PLSV-827-HYB-GX23,12.58,
5.5PLSV-830-HYB-GX23,12.58,
5.5PLSV-835-HYB-GX23,12.58,
5.5PLSV-840-HYB-GX23,12.58,
5.5PLV-835-HYBM,14.4,
5.5PLV-840-HYBM,14.4,
54HID-277V-EX39,73.29,
54HIDWP-277V-EX39,82.39,
54PT40,53.2,
5FA19DIM-820-A,7.25,
5FA19DIM-827,6.86,
5FA19DIM-827-FR,7.25,
5FB11DIM-827,6.21,
5FB11DIM-827-E26,6.34,
5FG40DIM-827,17.26,
5G16.5DLED27,3.0,
5SQ-SP-D,27.16,
5SQR-SP-D,35.56,
6.5R20DIM-8CCTD,7.12,
60HMX50,55.86,
65HIDHB-BYP-EX39,85.12,
68HID-277V-EX39,113.98,
6A19DIM-827-R,2.96,
6A19DIM-830-R,2.96,
6CP20L,55.09,
6CP40L,66.81,
6CP55L,73.12,
6CP80L,99.99,
6CPL30L,57.08,
6G25DIM-827-R,8.94,
6G25DLED27-G2,2.94,
6GU10DIM-8-FL35,8.03,
6LB27,13.75,
