productcode,productname,productprice,saleprice,available
15P38DLED930FL-JA8,"Maxlite PAR38 Bulb, 15 Watt, JA8 Certified, Dimmable, 3000K",9.18,7.95,#N/A
15P38WD27FL,"Maxlite PAR38 Bulb, 15 Watt, Dimmable, Wet Rated, 2700K",8.25,7.25,#N/A
15P38WD30FL,"Maxlite PAR38 Bulb, 15 Watt, Dimmable, Wet Rated, 3000K",8.25,7.25,#N/A
15P38WD40FL,"Maxlite PAR38 Bulb, 15 Watt, Dimmable, Wet Rated, 4000K",8.25,7.25,#N/A
17BR40DLED27-G3,"Maxlite BR40 Bulb, 17 Watt, Dimmable, 2700K",7.25,6.31,#N/A
17BR40DLED30-G3,"Maxlite BR40 Bulb, 17 Watt, Dimmable, 3000K",7.25,6.31,#N/A
17BR40DLED40-G3,"Maxlite BR40 Bulb, 17 Watt, Dimmable, 4000K",7.25,6.31,#N/A
17P38LED230FL,"Maxlite PAR38 Bulb, 17 Watt, 277 Volt, 3000K",21.68,18.56,#N/A
17P38LED240FL,"Maxlite PAR38 Bulb, 17 Watt, 277 Volt, 4000K",21.68,18.56,#N/A
2.5G4LED27,"Maxlite 2.5 Watt Bi Pin Base Miniature Lamp, 2700K",7.05,6,#N/A
2.5WDGLED27,"Maxlite 2.5 Watt Wedge Base Miniature Lamp, 2700K",7.05,6,#N/A
36LBLV40,"MaxLite Low Voltage Light Bar, Plug and Play, 36 Inch, 15 Watt",22.5,,#N/A
36PT40,"MaxLite LED Bypass Corn Lamp, 36W, EX39 Base, 4000K",46.55,41.25,#N/A
36PT50,"MaxLite LED Bypass Corn Lamp, 36W, EX39 Base, 5000K",46.55,41.25,#N/A
36RDL30,"Maxlite Cooler, Freezer, Refrigerator, Door Fixture, 3 Foot, 9 Watt, 3000K",23.75,,#N/A
36RDL41,"Maxlite Cooler, Freezer, Refrigerator, Door Fixture, 3 Foot, 9 Watt, 4100K",23.75,,#N/A
36RDL50,"Maxlite Cooler, Freezer, Refrigerator, Door Fixture, 3 Foot, 9 Watt, 5000K",23.75,,#N/A
3G9LED27,"Maxlite G9 Retrofit Lamp, 3W",5.59,4.75,#N/A
40HMX50,"MaxLite 40W LED HIGHMAX, 5000K with EX39 BASE",49.21,42.5,#N/A
54PT40,"MaxLite LED Bypass Corn Lamp, 54W, EX39 Base, 4000K",53.2,46.25,#N/A
5G16.5DLED27,"Maxlite G16.5 Globe Bulb, Replaces 40 Watt, Dimmable",3,,#N/A
60HMX50,"MaxLite 60W LED HIGHMAX, 5000K with EX39 BASE",55.86,48.75,#N/A
6G25DLED27-G2,"Maxlite G25 Globe Bulb, 6 Watt, Dimmable",2.94,,#N/A
6LB27,"MaxLite Plug-and-Play Light Bar, 6 Inch, 3 Watt",15.96,13.75,1036
6P20DLED30NF,"Maxlite PAR20 Bulb, 6 Watt, Dimmable (PHASING OUT)",1.76,,#N/A
6PLE26LED27,"Maxlite PL Retrofit Lamp, 6 Watt (E26 Base), 2700K",8.65,7.5,#N/A
6PLE26LED30,"Maxlite PL Retrofit Lamp, 6 Watt (E26 Base), 3000K",8.65,7.5,#N/A
6PLG24QLED27,"Maxlite PL Retrofit Lamp, 6 Watt (G24Q Base), 2700K",8.65,7.5,#N/A
6PLG24QLED30,"Maxlite PL Retrofit Lamp, 6 Watt (G24Q Base), 3000K",8.65,7.5,#N/A
6PLG24QLED35,"Maxlite PL Retrofit Lamp, 6 Watt (G24Q Base), 3500K",8.65,7.5,#N/A
6PLG24QLED40,"Maxlite PL Retrofit Lamp, 6 Watt (G24Q Base), 4000K",8.65,7.5,#N/A
6PLG24QLED50,"Maxlite PL Retrofit Lamp, 6 Watt (G24Q Base), 5000K",8.65,7.5,#N/A
6PLGU24LED27,"Maxlite PL Retrofit Lamp, 6 Watt (GU24 Base), 2700K",8.65,7.5,#N/A
6PLGU24LED30,"Maxlite PL Retrofit Lamp, 6 Watt (GU24 Base), 3000K",8.65,7.5,#N/A
6PLGU24LED40,"Maxlite PL Retrofit Lamp, 6 Watt (GU24 Base), 4000K",8.65,7.5,#N/A
6PLGX23LED27,"Maxlite PL Retrofit Lamp, 6 Watt (GX23 Base), 2700K",8.65,7.5,#N/A
6PLGX23LED35,"Maxlite PL Retrofit Lamp, 6 Watt (GX23 Base), 3500K",8.65,7.5,#N/A
6PLGX23LED40,"Maxlite PL Retrofit Lamp, 6 Watt (GX23 Base), 4000K",8.65,7.5,#N/A
6PLGX23LED50,"Maxlite PL Retrofit Lamp, 6 Watt (GX23 Base), 5000K",8.65,7.5,#N/A
72RDL30,"Maxlite Cooler, Freezer, Refrigerator Door Fixture, 6 Foot, 18 Watt, 3000K",46.25,,#N/A
72RDL50,"Maxlite Cooler, Freezer, Refrigerator Door Fixture, 6 Foot, 18 Watt, 5000K",43.75,,#N/A
7BR20DLED27-G3,"Maxlite BR20 Bulb, 7 Watt, 2700K, Dimmable",2.66,2.25,#N/A
7BR20DLED30-G3,"Maxlite BR20 Bulb, 7 Watt, 3000K, Dimmable",2.66,2.25,#N/A
7BR20DLED40-G3,"Maxlite BR20 Bulb, 7 Watt, 4000K, Dimmable",2.66,2.25,#N/A
7MR16D27FL,"Maxlite MR16 Lamp, 7 Watt (GU5.3 Base), Dimmable, 2700K",3.59,3.13,1314
7MR16D30FL,"Maxlite MR16 Lamp, 7 Watt (GU5.3 Base), Dimmable, 3000K",3.59,3.13,2091
7MR16GUDLED930FL-JA8,"Maxlite MR16 Lamp, JA8 Certified, 7 Watt (GU10 Base), Dimmable",2.06,,#N/A
7P20DLED927FL-JA8,"Maxlite PAR20 Bulb, 7 Watt, Dimmable, 2700K",3.86,3.38,#N/A
7P20DLED930FL-JA8,"Maxlite PAR20 Bulb, 7 Watt, Dimmable, 3000K",3.86,3.38,#N/A
80HMX50,"MaxLite 80W LED HIGHMAX, 5000K with EX39 BASE",90.44,78.75,#N/A
8BR30DLED40-G3,"Maxlite BR30 Bulb, 8 Watt, 4000K, Dimmable",3.86,3.25,#N/A
8BR30DLED50-G3,"Maxlite BR30 Bulb, 8 Watt, 5000K, Dimmable",3.86,3.25,#N/A
8PLE26LED27,"Maxlite PL Retrofit Lamp, 8 Watt (E26 Base), 2700K",9.44,8.13,#N/A
8PLE26LED30,"Maxlite PL Retrofit Lamp, 8 Watt (E26 Base), 3000K",9.44,8.13,#N/A
8PLG24QLED27,"Maxlite PL Retrofit Lamp, 8 Watt (G24Q Base), 2700K",9.44,8.13,#N/A
